id;name_ar;name_en;code;time_in_sec;pass_score;status
1;Response invoice;alarm Jamaica;system Gorgeous Rubber Pants;15864;75784;12016
2;leading-edge;Ergonomic Steel Gloves;Developer Shoes Music;76336;49161;80691
3;e-business Light;integrate Personal Loan Account;HTTP explicit;1530;62585;93343
4;Cambridgeshire Norfolk Island;Soap Tasty Metal Sausages Outdoors;invoice multi-byte;67716;38816;57336
5;Granite haptic;Web revolutionize Branding;teal analyzing yellow;37725;1822;3896
6;Credit Card Account;Handcrafted Plastic Shirt quantifying;wireless;26069;28185;49603
7;Solomon Islands Dollar;Personal Loan Account HTTP;schemas Specialist China;42347;75061;56852
8;Wyoming interface Cotton;quantify;JSON Texas;23859;42899;67984
9;application Configurable iterate;Berkshire navigating;superstructure;9998;38920;5348
10;Interactions;Fantastic time-frame Quality;Borders Borders Practical;9170;29321;60244
