id;code;name_ar;name_en;test_id;qroup_id;pass_percentage
1;mobile Fish;Home Loan Account Table Computer;Trace;Savings Account alarm;Tasty Metal Bacon;93855
2;Electronics;Soap methodology Albania;Home Namibia;Steel zero administration;Multi-channelled Licensed;61838
3;syndicate;Mississippi Refined Rubber Chicken Table;Automotive;Planner cross-platform access;Public-key;24102
4;Bahamian Dollar Investment Account;Games Regional Digitized;copy convergence;Mayotte;Industrial;84228
5;Views e-enable Communications;National Awesome sky blue;Tactics;scale interactive generating;Specialist Home Loan Account;27599
6;scalable;Small;deliverables reinvent 24 hour;overriding;monitor 1080p Checking Account;92630
7;deposit Internal;Investment Account archive Fantastic Plastic Chicken;payment;withdrawal COM;embrace Developer;84891
8;hard drive Robust Networked;Poland;Small partnerships;Outdoors;Harbor Montana;69551
9;Concrete Investment Account Saint Lucia;User-centric;Money Market Account;Salad Web virtual;Refined Squares;21844
10;e-business;Ghana back-end National;Direct;Profit-focused;Jewelery cutting-edge;30478
